Sample,Symbol,Subtype,Chan,Num
18,+,0,0,0
77,N,0,0,0
370,N,0,0,0
662,N,0,0,0
946,N,0,0,0
1231,N,0,0,0
1515,N,0,0,0
1809,N,0,0,0
2044,A,0,0,0
2402,N,0,0,0
2706,N,0,0,0
2998,N,0,0,0
3282,N,0,0,0
3560,N,0,0,0
3862,N,0,0,0
4170,N,0,0,0
4466,N,0,0,0
4764,N,0,0,0
5060,N,0,0,0
5346,N,0,0,0
5633,N,0,0,0
5918,N,0,0,0
6214,N,0,0,0
6527,N,0,0,0
6823,N,0,0,0
7106,N,0,0,0
7391,N,0,0,0
7670,N,0,0,0
7953,N,0,0,0
8245,N,0,0,0
8539,N,0,0,0
8837,N,0,0,0
9141,N,0,0,0
9431,N,0,0,0
9710,N,0,0,0
9998,N,0,0,0
10282,N,0,0,0
10591,N,0,0,0
10894,N,0,0,0
11191,N,0,0,0
11480,N,0,0,0
11781,N,0,0,0
12066,N,0,0,0
12350,N,0,0,0
12645,N,0,0,0
12949,N,0,0,0
13266,N,0,0,0
13562,N,0,0,0
13842,N,0,0,0
14131,N,0,0,0
14423,N,0,0,0
14710,N,0,0,0
15011,N,0,0,0
15310,N,0,0,0
15607,N,0,0,0
15899,N,0,0,0
16183,N,0,0,0
16464,N,0,0,0
16755,N,0,0,0
17058,N,0,0,0
17358,N,0,0,0
17657,N,0,0,0
17947,N,0,0,0
18227,N,0,0,0
18514,N,0,0,0
18795,N,0,0,0
19080,N,0,0,0
19388,N,0,0,0
19693,N,0,0,0
19989,N,0,0,0
20271,N,0,0,0
20554,N,0,0,0
20837,N,0,0,0
21131,N,0,0,0
21423,N,0,0,0
21729,N,0,0,0
22029,N,0,0,0
22321,N,0,0,0
22603,N,0,0,0
22881,N,0,0,0
23164,N,0,0,0
23453,N,0,0,0
23756,N,0,0,0
24053,N,0,0,0
24345,N,0,0,0
24625,N,0,0,0
24913,N,0,0,0
25197,N,0,0,0
25485,N,0,0,0
25779,N,0,0,0
26088,N,0,0,0
26387,N,0,0,0
26670,N,0,0,0
26952,N,0,0,0
27237,N,0,0,0
27536,N,0,0,0
27833,N,0,0,0
28132,N,0,0,0
28431,N,0,0,0
28727,N,0,0,0
29014,N,0,0,0
29294,N,0,0,0
29580,N,0,0,0
29873,N,0,0,0
