MLII,V1,Sample
-0.105,0.19,0
-0.105,0.19,1
-0.105,0.19,2
-0.105,0.19,3
-0.105,0.19,4
-0.105,0.19,5
-0.105,0.19,6
-0.105,0.19,7
-0.125,0.19,8
-0.145,0.22,9
-0.15,0.225,10
-0.175,0.25,11
-0.195,0.225,12
-0.205,0.21,13
-0.2,0.21,14
-0.2,0.22,15
-0.195,0.23,16
-0.2,0.23,17
-0.2,0.215,18
-0.21,0.21,19
-0.21,0.215,20
-0.19,0.225,21
-0.19,0.23,22
-0.2,0.24,23
-0.215,0.23,24
-0.225,0.22,25
-0.225,0.225,26
-0.21,0.23,27
-0.21,0.255,28
-0.23,0.27,29
-0.245,0.27,30
-0.26,0.265,31
-0.255,0.26,32
-0.245,0.285,33
-0.23,0.295,34
-0.245,0.295,35
-0.28,0.295,36
-0.255,0.28,37
-0.165,0.275,38
-0.015,0.225,39
0.16,0.11,40
0.375,-0.04,41
0.645,-0.175,42
0.985,-0.27,43
1.37,-0.35,44
1.725,-0.395,45
1.935,-0.395,46
1.895,-0.33,47
1.625,-0.225,48
1.28,-0.12,49
0.915,-0.015,50
0.55,0.09,51
0.26,0.12,52
0.045,0.11,53
-0.11,0.105,54
-0.21,0.115,55
-0.255,0.14,56
-0.26,0.19,57
-0.235,0.22,58
-0.235,0.225,59
-0.27,0.205,60
-0.29,0.205,61
-0.305,0.23,62
-0.295,0.24,63
-0.295,0.265,64
-0.3,0.255,65
-0.33,0.24,66
-0.335,0.225,67
-0.325,0.24,68
-0.325,0.25,69
-0.315,0.26,70
-0.32,0.26,71
-0.33,0.26,72
-0.33,0.24,73
-0.325,0.24,74
-0.315,0.265,75
-0.32,0.26,76
-0.325,0.26,77
-0.325,0.245,78
-0.34,0.245,79
-0.325,0.24,80
-0.3,0.255,81
-0.3,0.265,82
-0.315,0.26,83
-0.32,0.235,84
-0.335,0.235,85
-0.33,0.24,86
-0.305,0.26,87
-0.3,0.26,88
-0.31,0.27,89
-0.325,0.25,90
-0.335,0.235,91
-0.315,0.24,92
-0.295,0.24,93
-0.31,0.255,94
-0.31,0.25,95
-0.325,0.215,96
-0.315,0.2,97
-0.3,0.215,98
-0.29,0.225,99
-0.275,0.23,100
-0.275,0.215,101
-0.285,0.195,102
-0.29,0.185,103
-0.275,0.185,104
-0.26,0.19,105
-0.245,0.2,106
-0.255,0.185,107
-0.255,0.165,108
-0.255,0.15,109
-0.23,0.14,110
-0.21,0.145,111
-0.18,0.15,112
-0.17,0.14,113
-0.17,0.11,114
-0.17,0.09,115
-0.165,0.095,116
-0.13,0.09,117
-0.11,0.085,118
-0.11,0.075,119
-0.11,0.065,120
-0.105,0.035,121
-0.095,0.04,122
-0.08,0.06,123
-0.05,0.05,124
-0.05,0.055,125
-0.05,0.04,126
-0.05,0.03,127
-0.04,0.025,128
-0.02,0.045,129
-0.015,0.07,130
-0.02,0.08,131
-0.045,0.07,132
-0.05,0.085,133
-0.05,0.095,134
-0.035,0.12,135
-0.045,0.15,136
-0.065,0.165,137
-0.105,0.18,138
-0.115,0.16,139
-0.12,0.185,140
-0.11,0.215,141
-0.115,0.245,142
-0.15,0.23,143
-0.18,0.24,144
-0.195,0.235,145
-0.195,0.245,146
-0.195,0.26,147
-0.195,0.275,148
-0.215,0.28,149
-0.245,0.275,150
-0.25,0.255,151
-0.245,0.265,152
-0.235,0.28,153
-0.235,0.295,154
-0.235,0.29,155
-0.26,0.27,156
-0.27,0.26,157
-0.255,0.27,158
-0.24,0.29,159
-0.245,0.295,160
-0.26,0.285,161
-0.285,0.27,162
-0.29,0.265,163
-0.265,0.275,164
-0.25,0.295,165
-0.255,0.3,166
-0.255,0.3,167
-0.27,0.28,168
-0.28,0.27,169
-0.26,0.28,170
-0.245,0.305,171
-0.245,0.3,172
-0.245,0.29,173
-0.27,0.275,174
-0.26,0.265,175
-0.24,0.265,176
-0.235,0.28,177
-0.24,0.305,178
-0.25,0.305,179
-0.255,0.285,180
-0.25,0.26,181
-0.225,0.28,182
-0.19,0.28,183
-0.19,0.27,184
-0.195,0.25,185
-0.195,0.225,186
-0.165,0.195,187
-0.13,0.18,188
-0.065,0.165,189
-0.02,0.115,190
-0.005,0.08,191
0.04,0.015,192
0.115,-0.04,193
0.225,-0.1,194
0.33,-0.16,195
0.415,-0.245,196
0.47,-0.32,197
0.53,-0.41,198
0.625,-0.465,199
0.77,-0.55,200
0.89,-0.6,201
1.0,-0.66,202
1.07,-0.725,203
1.155,-0.785,204
1.265,-0.825,205
1.4,-0.855,206
1.535,-0.87,207
1.66,-0.875,208
1.705,-0.885,209
1.675,-0.86,210
1.6,-0.8,211
1.525,-0.725,212
1.47,-0.625,213
1.405,-0.535,214
1.31,-0.45,215
1.225,-0.345,216
1.195,-0.25,217
1.15,-0.165,218
1.085,-0.1,219
1.01,-0.065,220
0.935,-0.055,221
0.875,-0.045,222
0.885,-0.055,223
0.9,-0.04,224
0.875,-0.045,225
0.76,-0.065,226
0.605,-0.06,227
0.455,-0.045,228
0.28,-0.005,229
0.125,0.07,230
-0.07,0.165,231
-0.245,0.255,232
-0.4,0.335,233
-0.49,0.365,234
-0.51,0.41,235
-0.545,0.42,236
-0.595,0.46,237
-0.635,0.465,238
-0.655,0.48,239
-0.675,0.485,240
-0.685,0.495,241
-0.705,0.505,242
-0.72,0.525,243
-0.72,0.525,244
-0.735,0.535,245
-0.75,0.535,246
-0.765,0.55,247
-0.75,0.545,248
-0.77,0.57,249
-0.795,0.595,250
-0.795,0.6,251
-0.82,0.6,252
-0.82,0.6,253
-0.825,0.615,254
-0.855,0.63,255
-0.86,0.65,256
-0.88,0.665,257
-0.885,0.66,258
-0.905,0.665,259
-0.905,0.68,260
-0.905,0.695,261
-0.925,0.725,262
-0.94,0.735,263
-0.975,0.735,264
-0.98,0.75,265
-0.98,0.755,266
-0.965,0.785,267
-0.965,0.8,268
-0.995,0.795,269
-1.015,0.79,270
-1.02,0.79,271
-1.025,0.815,272
-1.03,0.825,273
-1.035,0.825,274
-1.035,0.825,275
-1.04,0.81,276
-1.035,0.79,277
-1.04,0.79,278
-0.995,0.78,279
-0.99,0.775,280
-1.0,0.77,281
-1.01,0.72,282
-0.995,0.7,283
-0.965,0.675,284
-0.91,0.67,285
-0.905,0.64,286
-0.905,0.62,287
-0.885,0.585,288
-0.85,0.535,289
-0.79,0.515,290
-0.745,0.515,291
